ax,ay,az,ex,ey,ez,gx,gy,gz,mx,my,mz,qw,qx,qy,qz,BatteryPercent,SystemStatus,GyroStatus,AccelStatus,MagStatus,Timestamp,SequenceNum
0.390000,-1.860000,0.270000,0.000000,0.000000,0.000000,4.625000,-36.187500,72.312500,0.000000,0.000000,0.000000,0.178406,0.877258,0.443542,0.043213,76.000000,0.000000,3.000000,3.000000,3.000000,1578.611000,156135.000000
0.110000,-1.600000,-0.010000,0.000000,0.000000,0.000000,0.000000,-34.500000,72.562500,0.000000,0.000000,0.000000,0.179443,0.880066,0.437622,0.041748,76.000000,0.000000,3.000000,3.000000,3.000000,1578.622000,156136.000000
0.080000,-0.980000,-0.160000,0.000000,0.000000,0.000000,-1.750000,-28.625000,73.625000,0.000000,0.000000,0.000000,0.180908,0.885620,0.425781,0.040344,76.000000,0.000000,3.000000,3.000000,3.000000,1578.632000,156137.000000
0.120000,-0.290000,-0.280000,0.000000,0.000000,0.000000,0.000000,-21.437500,74.500000,0.000000,0.000000,0.000000,0.180786,0.888550,0.419800,0.039978,76.000000,0.000000,3.000000,3.000000,3.000000,1578.642000,156138.000000
0.620000,1.370000,-0.580000,0.000000,0.000000,0.000000,5.937500,-17.312500,76.875000,0.000000,0.000000,0.000000,0.180786,0.888550,0.419800,0.039978,76.000000,0.000000,3.000000,3.000000,3.000000,1578.652000,156139.000000
0.520000,1.420000,-0.770000,0.000000,0.000000,0.000000,15.375000,-17.375000,78.875000,0.000000,0.000000,0.000000,0.179993,0.891602,0.413635,0.039368,76.000000,0.000000,3.000000,3.000000,3.000000,1578.662000,156140.000000
0.220000,1.140000,-1.070000,0.000000,0.000000,0.000000,21.500000,-17.500000,79.437500,0.000000,0.000000,0.000000,0.177246,0.897705,0.401550,0.037720,76.000000,0.000000,3.000000,3.000000,3.000000,1578.672000,156141.000000
-0.060000,0.990000,-1.570000,0.000000,0.000000,0.000000,22.437500,-14.625000,75.562500,0.000000,0.000000,0.000000,0.176025,0.900330,0.396240,0.037415,76.000000,0.000000,3.000000,3.000000,3.000000,1578.682000,156142.000000
-0.040000,0.890000,-1.610000,0.000000,0.000000,0.000000,17.875000,-10.187500,69.250000,0.000000,0.000000,0.000000,0.175537,0.902527,0.391418,0.037476,76.000000,0.000000,3.000000,3.000000,3.000000,1578.692000,156143.000000
-0.020000,0.580000,-1.540000,0.000000,0.000000,0.000000,7.625000,-7.687500,61.812500,0.000000,0.000000,0.000000,0.175537,0.902527,0.391418,0.037476,76.000000,0.000000,3.000000,3.000000,3.000000,1578.702000,156144.000000
-0.080000,0.160000,-1.390000,0.000000,0.000000,0.000000,-7.750000,-6.625000,56.562500,0.000000,0.000000,0.000000,0.176147,0.904297,0.386963,0.038086,76.000000,0.000000,3.000000,3.000000,3.000000,1578.712000,156145.000000
-0.120000,0.700000,-1.000000,0.000000,0.000000,0.000000,-22.250000,-4.687500,55.500000,0.000000,0.000000,0.000000,0.179626,0.907166,0.378296,0.040649,76.000000,0.000000,3.000000,3.000000,3.000000,1578.722000,156146.000000
-0.080000,1.220000,-0.960000,0.000000,0.000000,0.000000,-24.500000,-2.500000,54.562500,0.000000,0.000000,0.000000,0.180603,0.908691,0.374084,0.041809,76.000000,0.000000,3.000000,3.000000,3.000000,1578.732000,156147.000000
-0.040000,1.290000,-0.850000,0.000000,0.000000,0.000000,-14.437500,-1.937500,53.750000,0.000000,0.000000,0.000000,0.180481,0.910400,0.369934,0.042358,76.000000,0.000000,3.000000,3.000000,3.000000,1578.742000,156148.000000
0.140000,1.260000,-0.720000,0.000000,0.000000,0.000000,-0.187500,-3.437500,53.437500,0.000000,0.000000,0.000000,0.180481,0.910400,0.369934,0.042358,76.000000,0.000000,3.000000,3.000000,3.000000,1578.752000,156149.000000
-0.040000,-0.580000,-0.430000,0.000000,0.000000,0.000000,7.437500,-5.562500,54.937500,0.000000,0.000000,0.000000,0.179932,0.912231,0.365662,0.042542,76.000000,0.000000,3.000000,3.000000,3.000000,1578.763000,156150.000000
0.000000,-0.790000,-0.290000,0.000000,0.000000,0.000000,-5.625000,-6.250000,61.500000,0.000000,0.000000,0.000000,0.180054,0.915894,0.356140,0.043457,76.000000,0.000000,3.000000,3.000000,3.000000,1578.773000,156151.000000
