ax,ay,az,ex,ey,ez,gx,gy,gz,qw,qx,qy,qz,mx,my,mz,BatteryPercent,SystemStatus,GyroStatus,AccelStatus,MagStatus,Timestamp,SequenceNum
-7.590000,19.340000,-8.790000,0.000000,0.000000,0.000000,-21.625000,24.562500,190.625000,0.000000,0.000000,0.000000,0.135742,0.962036,0.228210,-0.062927,77.000000,0.000000,3.000000,3.000000,3.000000,1491.434000,147462.000000
-7.820000,17.320000,-7.950000,0.000000,0.000000,0.000000,-12.937500,7.937500,171.312500,0.000000,0.000000,0.000000,0.137512,0.965149,0.214478,-0.060059,77.000000,0.000000,3.000000,3.000000,3.000000,1491.444000,147463.000000
-8.170000,15.250000,-6.900000,0.000000,0.000000,0.000000,-13.937500,-2.375000,152.062500,0.000000,0.000000,0.000000,0.139465,0.967651,0.202087,-0.058228,77.000000,0.000000,3.000000,3.000000,3.000000,1491.454000,147464.000000
-7.700000,12.720000,-4.660000,0.000000,0.000000,0.000000,-18.000000,-10.062500,135.750000,0.000000,0.000000,0.000000,0.141785,0.969604,0.190918,-0.057190,77.000000,0.000000,3.000000,3.000000,3.000000,1491.464000,147465.000000
-7.290000,11.040000,-3.530000,0.000000,0.000000,0.000000,-18.812500,-13.687500,116.437500,0.000000,0.000000,0.000000,0.144104,0.971191,0.181335,-0.056580,77.000000,0.000000,3.000000,3.000000,3.000000,1491.474000,147466.000000
-7.490000,8.870000,-2.800000,0.000000,0.000000,0.000000,-16.937500,-10.625000,95.500000,0.000000,0.000000,0.000000,0.146118,0.972351,0.173401,-0.056030,77.000000,0.000000,3.000000,3.000000,3.000000,1491.484000,147467.000000
-6.110000,5.790000,-2.260000,0.000000,0.000000,0.000000,-18.250000,-3.000000,81.125000,0.000000,0.000000,0.000000,0.148071,0.973267,0.166809,-0.054993,77.000000,0.000000,3.000000,3.000000,3.000000,1491.494000,147468.000000
-6.150000,4.720000,-2.280000,0.000000,0.000000,0.000000,-20.875000,3.000000,66.125000,0.000000,0.000000,0.000000,0.150024,0.973938,0.161499,-0.053650,77.000000,0.000000,3.000000,3.000000,3.000000,1491.504000,147469.000000
-6.090000,3.660000,-2.220000,0.000000,0.000000,0.000000,-23.187500,5.375000,55.000000,0.000000,0.000000,0.000000,0.152100,0.974365,0.157166,-0.052185,77.000000,0.000000,3.000000,3.000000,3.000000,1491.514000,147470.000000
-5.610000,2.130000,-2.300000,0.000000,0.000000,0.000000,-20.812500,8.562500,46.312500,0.000000,0.000000,0.000000,0.153931,0.974792,0.153503,-0.050598,77.000000,0.000000,3.000000,3.000000,3.000000,1491.524000,147471.000000
-5.040000,1.180000,-2.370000,0.000000,0.000000,0.000000,-16.187500,15.125000,36.375000,0.000000,0.000000,0.000000,0.155212,0.975098,0.150818,-0.048645,77.000000,0.000000,3.000000,3.000000,3.000000,1491.534000,147472.000000
-4.630000,0.660000,-2.580000,0.000000,0.000000,0.000000,-9.750000,19.937500,27.375000,0.000000,0.000000,0.000000,0.155884,0.975403,0.148865,-0.046509,77.000000,0.000000,3.000000,3.000000,3.000000,1491.544000,147473.000000
-4.570000,0.900000,-2.570000,0.000000,0.000000,0.000000,-4.062500,20.375000,19.062500,0.000000,0.000000,0.000000,0.156006,0.975647,0.147522,-0.044556,77.000000,0.000000,3.000000,3.000000,3.000000,1491.554000,147474.000000
-4.450000,0.460000,-2.650000,0.000000,0.000000,0.000000,3.312500,20.250000,10.375000,0.000000,0.000000,0.000000,0.155518,0.975891,0.146973,-0.042786,77.000000,0.000000,3.000000,3.000000,3.000000,1491.565000,147475.000000
