ax,ay,az,ex,ey,ez,gx,gy,gz,qw,qx,qy,qz,mx,my,mz,BatteryPercent,SystemStatus,GyroStatus,AccelStatus,MagStatus,Timestamp,SequenceNum
0.110000,-0.930000,1.050000,0.000000,0.000000,0.000000,-5.625000,-63.875000,-39.000000,0.000000,0.000000,0.000000,0.167847,0.666809,0.702759,0.182678,78.000000,2.000000,3.000000,3.000000,3.000000,1412.655000,139622.000000
0.110000,-1.170000,1.220000,0.000000,0.000000,0.000000,-6.312500,-57.625000,-34.812500,0.000000,0.000000,0.000000,0.172180,0.665527,0.703796,0.179321,78.000000,2.000000,3.000000,3.000000,3.000000,1412.665000,139623.000000
0.060000,-1.470000,1.520000,0.000000,0.000000,0.000000,-7.250000,-50.500000,-29.750000,0.000000,0.000000,0.000000,0.176025,0.664368,0.704590,0.176514,78.000000,2.000000,3.000000,3.000000,3.000000,1412.675000,139624.000000
0.020000,-1.540000,1.610000,0.000000,0.000000,0.000000,-8.062500,-42.250000,-24.250000,0.000000,0.000000,0.000000,0.179382,0.663452,0.705200,0.174255,78.000000,2.000000,3.000000,3.000000,3.000000,1412.685000,139625.000000
-0.070000,-1.620000,1.740000,0.000000,0.000000,0.000000,-8.312500,-32.312500,-18.500000,0.000000,0.000000,0.000000,0.182007,0.662659,0.705627,0.172607,78.000000,2.000000,3.000000,3.000000,3.000000,1412.695000,139626.000000
-0.290000,-1.630000,2.010000,0.000000,0.000000,0.000000,-8.375000,-19.812500,-12.125000,0.000000,0.000000,0.000000,0.183838,0.662109,0.705872,0.171814,78.000000,2.000000,3.000000,3.000000,3.000000,1412.705000,139627.000000
-0.220000,-1.930000,2.100000,0.000000,0.000000,0.000000,-8.000000,-4.812500,-4.875000,0.000000,0.000000,0.000000,0.184692,0.661743,0.705994,0.171936,78.000000,2.000000,3.000000,3.000000,3.000000,1412.715000,139628.000000
-0.230000,-2.080000,2.060000,0.000000,0.000000,0.000000,-8.562500,10.062500,2.687500,0.000000,0.000000,0.000000,0.184509,0.661682,0.705872,0.173096,78.000000,2.000000,3.000000,3.000000,3.000000,1412.725000,139629.000000
-0.230000,-1.980000,2.030000,0.000000,0.000000,0.000000,-10.625000,24.937500,9.500000,0.000000,0.000000,0.000000,0.183472,0.661682,0.705566,0.175232,78.000000,2.000000,3.000000,3.000000,3.000000,1412.735000,139630.000000
-0.120000,-1.980000,1.870000,0.000000,0.000000,0.000000,-11.625000,37.562500,15.250000,0.000000,0.000000,0.000000,0.181641,0.661865,0.705078,0.178284,78.000000,2.000000,3.000000,3.000000,3.000000,1412.745000,139631.000000
0.250000,-2.010000,1.180000,0.000000,0.000000,0.000000,-11.500000,45.812500,19.500000,0.000000,0.000000,0.000000,0.179260,0.662170,0.704529,0.181824,78.000000,2.000000,3.000000,3.000000,3.000000,1412.755000,139632.000000
0.510000,-2.430000,0.780000,0.000000,0.000000,0.000000,-11.125000,47.875000,21.062500,0.000000,0.000000,0.000000,0.176697,0.662476,0.703918,0.185486,78.000000,2.000000,3.000000,3.000000,3.000000,1412.765000,139633.000000
0.730000,-2.330000,0.400000,0.000000,0.000000,0.000000,-12.500000,44.500000,20.812500,0.000000,0.000000,0.000000,0.174438,0.662842,0.703186,0.189026,78.000000,2.000000,3.000000,3.000000,3.000000,1412.775000,139634.000000
0.940000,-2.300000,-0.180000,0.000000,0.000000,0.000000,-14.687500,38.625000,20.937500,0.000000,0.000000,0.000000,0.172668,0.663269,0.702332,0.192383,78.000000,2.000000,3.000000,3.000000,3.000000,1412.785000,139635.000000
1.160000,-2.430000,-0.430000,0.000000,0.000000,0.000000,-16.500000,33.250000,21.875000,0.000000,0.000000,0.000000,0.171265,0.663757,0.701355,0.195557,78.000000,2.000000,3.000000,3.000000,3.000000,1412.795000,139636.000000
1.200000,-2.590000,-0.690000,0.000000,0.000000,0.000000,-19.625000,29.937500,24.000000,0.000000,0.000000,0.000000,0.170166,0.664368,0.700073,0.198730,78.000000,2.000000,3.000000,3.000000,3.000000,1412.805000,139637.000000
1.310000,-2.350000,-0.780000,0.000000,0.000000,0.000000,-27.000000,26.812500,24.250000,0.000000,0.000000,0.000000,0.169678,0.664978,0.698669,0.202209,78.000000,2.000000,3.000000,3.000000,3.000000,1412.815000,139638.000000
1.530000,-1.300000,-0.840000,0.000000,0.000000,0.000000,-34.562500,23.812500,21.875000,0.000000,0.000000,0.000000,0.169861,0.665344,0.697144,0.205872,78.000000,2.000000,3.000000,3.000000,3.000000,1412.825000,139639.000000
